id,action,coordinates,button,delta,distance,speed,user_id,timestamp,time_diff,session_id,x,y,delta_x,delta_y
79997.0,click,"523,292",left,"0,0",0.0,0.0,2.0,2025-03-22 06:29:01.872000+00:00,0.705,11,523,292,0,0
80098.0,click,"516,413",left,"0,0",0.0,0.0,2.0,2025-03-22 06:29:18.634000+00:00,16.762,11,516,413,0,0
81719.0,click,"485,273",left,"0,0",0.0,0.0,2.0,2025-03-23 02:43:39.518000+00:00,72860.884,12,485,273,0,0
81777.0,click,"678,374",left,"0,0",0.0,0.0,2.0,2025-03-23 02:43:43.552000+00:00,4.034,12,678,374,0,0
81807.0,click,"510,306",left,"0,0",0.0,0.0,2.0,2025-03-23 02:43:48.576000+00:00,5.024,12,510,306,0,0
85739.0,click,"820,279",left,"0,0",0.0,0.0,2.0,2025-04-14 02:22:22.833000+00:00,1899514.257,13,820,279,0,0
87094.0,click,"960,474",left,"0,0",0.0,0.0,2.0,2025-04-15 05:35:50.556000+00:00,98007.723,14,960,474,0,0
87715.0,click,"607,517",left,"0,0",0.0,0.0,2.0,2025-04-15 06:29:31.651000+00:00,3221.095,15,607,517,0,0
87745.0,click,"559,386",left,"0,0",0.0,0.0,2.0,2025-04-15 06:55:26.092000+00:00,1554.441,16,559,386,0,0
87786.0,click,"523,474",left,"0,0",0.0,0.0,2.0,2025-04-15 06:55:45.425000+00:00,19.333,16,523,474,0,0
87812.0,click,"558,519",left,"0,0",0.0,0.0,2.0,2025-04-15 06:55:53.425000+00:00,8.0,16,558,519,0,0
88336.0,click,"870,550",left,"0,0",0.0,0.0,2.0,2025-04-15 07:43:46.005000+00:00,2872.58,17,870,550,0,0
88373.0,click,"602,464",left,"0,0",0.0,0.0,2.0,2025-04-15 07:44:29.338000+00:00,43.333,17,602,464,0,0
88454.0,click,"749,274",left,"0,0",0.0,0.0,2.0,2025-04-15 08:50:14.132000+00:00,3944.794,18,749,274,0,0
88490.0,click,"892,415",left,"0,0",0.0,0.0,2.0,2025-04-15 08:50:27.900000+00:00,13.768,18,892,415,0,0
85802.0,click,"849,299",left,"0,0",0.0,0.0,4.0,2025-04-14 02:24:48.498000+00:00,,18,849,299,0,0
85829.0,click,"891,297",left,"0,0",0.0,0.0,4.0,2025-04-14 02:24:56.199000+00:00,7.701,18,891,297,0,0
85883.0,click,"839,405",left,"0,0",0.0,0.0,4.0,2025-04-14 02:25:03.898000+00:00,7.699,18,839,405,0,0
85923.0,click,"912,418",left,"0,0",0.0,0.0,4.0,2025-04-14 02:25:11.865000+00:00,7.967,18,912,418,0,0
